epoch,train_loss,train_dice,train_iou,train_time_s,val_loss,val_dice,val_iou,val_time_s,learning_rate
1,0.9707413441256473,0.02925865689145499,0.01495832979899684,5.53,0.9630876183509827,0.03691238183528185,0.019116204977035523,0.31,1e-05
2,0.9535532797637739,0.0464467264368738,0.024003265548105304,5.15,0.957557213306427,0.04244278017431498,0.022095769830048084,0.31,2.8e-05
3,0.9430328544817472,0.05696714099030942,0.02983996931671802,5.16,0.9343969225883484,0.06560308821499347,0.03487670086324215,0.31,4.6e-05
4,0.9351492022213183,0.06485079689637611,0.03420709236524999,8.23,0.930458915233612,0.0695410892367363,0.03713576886802912,0.34,6.4e-05
5,0.922226231349142,0.0777737719840125,0.04119952116161585,5.41,0.9037711024284363,0.09622889421880246,0.05331526789814234,0.3,8.2e-05
6,0.8822608276417381,0.11773917314253356,0.06383248173484676,5.12,0.8597737431526185,0.14022625982761383,0.08000269085168839,0.31,0.0001
7,0.8164721429347992,0.18352785833964222,0.10509932516632896,5.12,0.8142230272293091,0.18577696830034257,0.11276876032352448,0.3,9.98794204878613e-05
8,0.7368051033270987,0.26319490000605583,0.15758715746434113,5.12,0.7438515067100525,0.25614847987890244,0.16310695111751555,0.3,9.951826940270773e-05
9,0.6399618308795126,0.36003816402272176,0.23008431043279798,5.3,0.6934781789779663,0.3065218240022659,0.19958483278751374,0.34,9.891830623632339e-05
10,0.5520937976084257,0.44790620337191384,0.30162646131295906,8.58,0.6491601586341857,0.3508398324251175,0.23367129564285277,0.32,9.808245394894679e-05
11,0.4769699997023532,0.5230300020622579,0.3712542460937249,5.34,0.5685898661613464,0.4314101368188858,0.29801148027181623,0.32,9.701478472890248e-05
12,0.40239898938881724,0.5976010082583678,0.43717371397896815,6.01,0.5299900293350219,0.47000997364521024,0.33107844591140745,0.37,9.572050015330875e-05
13,0.3229593509121945,0.6770406490878055,0.52341745833033,6.19,0.514111316204071,0.485888683795929,0.35057870745658876,0.37,9.42059058465169e-05
14,0.31361863173936544,0.6863813682606346,0.54402994462534,5.26,0.49464757442474366,0.5053524196147918,0.3644011616706848,0.37,9.247838075974309e-05
15,0.28661081194877625,0.7133891880512238,0.5625518042790262,5.72,0.4503250360488892,0.5496749520301819,0.4049617379903793,0.31,9.054634122155992e-05
16,0.22472197444815384,0.7752780255518461,0.6404797536762137,5.21,0.43875659704208375,0.5612434029579163,0.4220121055841446,0.31,8.841919993438942e-05
17,0.20988856961852626,0.7901114303814737,0.664642828859781,5.23,0.41524022817611694,0.5847597777843475,0.4469646096229553,0.31,8.610732011676325e-05
18,0.1844589098503715,0.8155410901496285,0.696961870318965,5.35,0.42431226968765257,0.575687724351883,0.42980908155441283,0.34,8.36219650147635e-05
19,0.175888623061933,0.824111376938067,0.7130198737508372,5.61,0.4097642421722412,0.5902357697486877,0.44106647968292234,0.34,8.09752430286201e-05
20,0.1688174589684135,0.8311825410315865,0.7191215549644671,7.17,0.409786581993103,0.5902134239673614,0.44550263285636904,0.34,7.818004872180198e-05
21,0.13754344770782873,0.8624565522921713,0.7622455766326502,5.71,0.3936740279197693,0.6063259720802308,0.462487718462944,0.34,7.525000000000001e-05
22,0.1383879216093766,0.8616120783906234,0.7625796465497268,5.32,0.41272937059402465,0.5872706234455108,0.44645979404449465,0.31,7.219937176605935e-05
23,0.13924836955572428,0.8607516304442757,0.762036070227623,5.21,0.3945590019226074,0.6054410040378571,0.4621941685676575,0.31,6.904302637408766e-05
24,0.12469682411143654,0.8753031758885634,0.7823310917929599,5.23,0.4157385349273682,0.5842614710330963,0.44296206831932067,0.33,6.579634122155991e-05
25,0.12781826132222227,0.8721817386777777,0.7783265207943163,6.82,0.37104871273040774,0.6289512872695923,0.4896083414554596,0.32,6.247513383218356e-05
26,0.12370566631618299,0.876294333683817,0.7855861132082186,5.34,0.38823058605194094,0.6117694139480591,0.4718894988298416,0.31,5.909558479451306e-05
27,0.10624774663071883,0.8937522533692812,0.8114813895601976,5.22,0.38659517765045165,0.6134048163890838,0.4702427089214325,0.32,5.5674158931748854e-05
28,0.10585333799061022,0.8941466620093897,0.8117917791793221,5.25,0.36999614238739015,0.6300038576126099,0.491744801402092,0.31,5.222752508677381e-05
29,0.10803108936861942,0.8919689106313806,0.8102167374209354,5.55,0.3842823266983032,0.6157176852226257,0.47236151397228243,0.33,4.8772474913226224e-05
30,0.10104187381894965,0.8989581261810503,0.8215812311360711,7.73,0.38037697076797483,0.6196230292320252,0.4773999661207199,0.35,4.532584106825117e-05
31,0.10689042587029307,0.8931095741297069,0.8111141214245244,5.68,0.36617511510849,0.63382488489151,0.49080756306648254,0.33,4.190441520548696e-05
32,0.09654871727290906,0.903451282727091,0.8270432760840968,5.55,0.3873256206512451,0.6126743733882904,0.4727806687355042,0.33,3.852486616781645e-05
33,0.09164070455651534,0.9083592954434847,0.8345098762135756,5.42,0.3840808629989624,0.6159191429615021,0.47623637318611145,0.32,3.520365877844012e-05
34,0.09140692415990327,0.9085930758400967,0.8345901103396165,5.44,0.37895281314849855,0.6210471868515015,0.48349992036819456,0.32,3.1956973625912366e-05
35,0.09748047276547081,0.9025195272345292,0.8266484157035225,6.72,0.3872461080551147,0.6127538859844208,0.4720562666654587,0.32,2.8800628233940678e-05
36,0.08420026772900631,0.9157997322709936,0.8461501927752244,5.56,0.3806200623512268,0.6193799316883087,0.48084206581115724,0.33,2.5750000000000023e-05
37,0.09076128978478282,0.9092387102152172,0.8359992849199396,5.66,0.3785123825073242,0.6214876234531402,0.4811904102563858,0.31,2.281995127819805e-05
38,0.08399725587744462,0.9160027441225553,0.8469515097768683,5.27,0.3807078838348389,0.6192921161651611,0.47847782671451566,0.31,2.0024756971379923e-05
39,0.08529641596894515,0.9147035840310549,0.8452382934720892,5.26,0.38329219818115234,0.6167078137397766,0.475432088971138,0.31,1.7378034985236525e-05
40,0.08594221660965368,0.9140577833903464,0.844902786769365,5.35,0.3800818681716919,0.6199181199073791,0.4776327908039093,0.32,1.4892679883236773e-05
41,0.08045706152915955,0.9195429384708405,0.8530692191500413,7.4,0.377510142326355,0.6224898576736451,0.48152944445610046,0.33,1.2580800065610601e-05
42,0.08905842116004542,0.9109415788399545,0.8396779785030767,5.41,0.3816208243370056,0.6183791697025299,0.4771112442016602,0.32,1.0453658778440112e-05
43,0.09314318550260443,0.9068568144973955,0.8339049204399711,5.26,0.3838899254798889,0.6161100804805756,0.4745990544557571,0.31,8.52161924025692e-06
44,0.07967828449450041,0.9203217155054996,0.8540430116026025,5.25,0.37936015129089357,0.6206398487091065,0.47910486459732055,0.31,6.794094153483128e-06
45,0.09044305901778371,0.9095569409822163,0.838176230066701,5.35,0.37815141677856445,0.6218485891819,0.48099495470523834,0.32,5.279499846691265e-06
46,0.09345372099625437,0.9065462790037456,0.8366449396861227,7.64,0.3786139965057373,0.6213860094547272,0.4802699387073517,0.34,3.98521527109754e-06
